issue,code_before,code_after,lesson,source,issue_tags,lesson_tags,pr_url
Using CHECK instead of DCHECK for debug-only assertions,"CHECK(cpu_allocator_) << ""..."");","DCHECK(cpu_allocator_) << ""..."";",Use DCHECK for debug-only assertions in new code to adhere to coding standards and avoid side effects in release builds.,review_comment,"['macro_usage', 'code_style']",['code_quality'],https://github.com/tensorflow/tensorflow/pull/45784
Use-after-move: accessing moved-from object’s fields after std::move,"auto cplatform = std::move(platform);
// ...
std::string name = platform.name;","std::string type = platform.type;
std::string name = platform.name;
auto cplatform = std::move(platform);",Avoid accessing objects after they have been moved; extract necessary fields before performing std::move to prevent undefined behavior.,review_comment,"['move_semantics', 'undefined_behavior']","['defensive_programming', 'c++_best_practices']",https://github.com/tensorflow/tensorflow/pull/45784
"Grammar typo in documentation: ""as also to"" should be ""and also to""","provides the necessary tools to create and manipulate Tensors, Variables, Constants as also to build, load and run Graphs.","provides the necessary tools to create and manipulate Tensors, Variables, Constants and also to build, load and run Graphs.",Proofread documentation for grammatical accuracy to maintain professionalism.,review_comment,"['documentation', 'grammar_error']","['documentation', 'code_readability']",https://github.com/tensorflow/tensorflow/pull/1771
Inconsistent punctuation: comments not terminated with a period,// Adds a scalar string to the graph with named 'const1',// Adds a scalar string to the graph with named 'const1'.,Terminate all comments with proper punctuation to maintain consistency and readability.,review_comment,"['code_style', 'comment_style']","['clean_code', 'code_readability']",https://github.com/tensorflow/tensorflow/pull/1771
Unnecessary colloquial language in documentation,This is a really complete code example that shows how to generate Graphs on Go and execute them:,This is a complete code example that shows how to generate Graphs on Go and execute them:,Use concise and formal language in documentation to improve clarity.,review_comment,"['documentation', 'tone']","['documentation', 'clean_code']",https://github.com/tensorflow/tensorflow/pull/1771
Incorrect pluralization in comment,"// Adds a placeholder named ""input1"" that must allocate a three elements","// Adds a placeholder named ""input1"" that must allocate a three element",Ensure correct singular/plural usage in comments to avoid confusion.,review_comment,"['documentation', 'grammar_error']","['documentation', 'code_readability']",https://github.com/tensorflow/tensorflow/pull/1771
Hard-coded absolute links to personal fork in documentation,[Image Recognition](https://github.com/alonsovidales/tensorflow/.../index.md#usage-with-the-go-api),[Image Recognition](../g3doc/tutorials/image_recognition/index.md#usage-with-the-go-api),Use relative paths in documentation to avoid personal references and maintain project portability.,review_comment,"['documentation', 'dependency_issue']","['documentation', 'maintainability']",https://github.com/tensorflow/tensorflow/pull/1771
Nested conditionals cause unnecessary indentation; reverse conditional for guard clause,"if op, ok := gr.availableOps[strings.ToLower(opName)]; ok { /* many lines */ }","if op, ok := gr.availableOps[strings.ToLower(opName)]; !ok {
    return nil, &ErrOperationNotFound{op: opName}
}
// proceed with op",Use early returns to reduce nesting and improve readability.,review_comment,"['code_style', 'readability']","['clean_code', 'defensive_programming']",https://github.com/tensorflow/tensorflow/pull/1771
Named result parameters reduce clarity,"func (gr *Graph) Op(...) (node *GraphNode, err error)","func (gr *Graph) Op(...) (*GraphNode, error)",Favor explicit return values over named result parameters unless they simplify complex functions.,review_comment,"['code_style', 'function_signature']","['clean_code', 'code_readability']",https://github.com/tensorflow/tensorflow/pull/1771
Manual index increment when iterating a map instead of using range index,"inputs := make([]string, len(gr.variables))
i := 0
for input := range gr.variables {
    inputs[i] = ""^"" + input + ""/Assign""
    i++
}","inputs := make([]string, len(gr.variables))
for i, name := range gr.variables {
    inputs[i] = ""^"" + name + ""/Assign""
}","Use language's built-in constructs (range index) for concise, idiomatic loops.",review_comment,"['code_style', 'idiomatic_go']","['code_readability', 'performance_optimization']",https://github.com/tensorflow/tensorflow/pull/1771
Manual buffer allocation and proto.MarshalText instead of simpler helper,"var bufStr bytes.Buffer
proto.MarshalText(&bufStr, gr.def)
return bufStr.String()",return proto.MarshalTextString(gr.def),Prefer concise helper functions to reduce boilerplate and improve clarity.,review_comment,"['code_style', 'boilerplate_reduction']","['clean_code', 'code_readability']",https://github.com/tensorflow/tensorflow/pull/1771
Excessively large function Op mixing multiple responsibilities,"func (gr *Graph) Op(...) { /* loads ops, validates inputs, casts attributes all in one */ }","// Split responsibilities:
func (gr *Graph) Op(...) {
    if err := gr.loadAvailableOps(); err != nil { ... }
    node, err := gr.buildNode(...)
    if err != nil { ... }
    err = gr.applyAttributes(node, attrs)
    ...
}","Break down large functions into smaller, single-responsibility functions to improve maintainability and readability.",review_comment,"['code_organization', 'maintainability']","['clean_code', 'single_responsibility']",https://github.com/tensorflow/tensorflow/pull/1771
Hard-coded absolute filesystem path for ops definitions,"const cOpsProtobufDefsPath = ""/usr/local/tensorlow/ops.pbtxt""","var cOpsProtobufDefsPath = filepath.Join(projectRoot, ""core/ops/ops.pbtxt"") // or configurable via ENV",Avoid hard-coding absolute paths; make dependencies configurable or use relative assets.,review_comment,"['dependency_issue', 'configuration']","['defensive_programming', 'maintainability']",https://github.com/tensorflow/tensorflow/pull/1771
Documentation generation format confusion between Markdown and GoDoc,,,Align documentation format and location with project publishing pipeline and target audience.,issue_comment,"['documentation', 'tooling']","['documentation', 'process_improvement']",https://github.com/tensorflow/tensorflow/pull/1771
Inconsistent capitalization and punctuation in GoDoc comments,// AsStr Returns a string representation of this graph,// AsStr returns a string representation of this graph.,"Follow natural code comment conventions (lowercase after function name, period at end) to ensure consistency.",review_comment,"['comment_style', 'naming_convention']","['clean_code', 'code_readability']",https://github.com/tensorflow/tensorflow/pull/1771
Unclear and misleading comment in Graph.Variable method,"// For reference this variable, use the variable as it.","// To reference this variable later, use the returned GraphNode.",Write clear and precise comments to accurately describe code behavior.,review_comment,['comment_clarity'],"['clean_code', 'documentation']",https://github.com/tensorflow/tensorflow/pull/1771
Inconsistent error message formatting across different error types,"return fmt.Sprintf(""Operation '%s' not defined"", e.op)
...
return fmt.Sprintf(""The attribute '%s' is mandatory for the operation: '%s'"", ...)","// Unified format without extra colon:
return fmt.Sprintf(""operation '%s' not defined"", e.op)
...
return fmt.Sprintf(""attribute '%s' is mandatory for operation '%s'"", ...)
",Standardize error messaging format across codebase for consistency and better UX.,review_comment,"['error_handling', 'consistency']","['clean_code', 'maintainability']",https://github.com/tensorflow/tensorflow/pull/1771
Contributor did not sign CLA; commit author email mismatch,,,Ensure contributor license agreements are signed and git commits use the email associated with the CLA,issue_comment,"['process', 'contributor_agreement', 'commit_metadata']","['process', 'onboarding']",https://github.com/tensorflow/tensorflow/pull/38968
Broken rebase included unrelated commits from other PRs,,,Perform rebases carefully and review diffs to avoid including unintended commits,issue_comment,"['version_control', 'rebase_error']","['code_review', 'version_control']",https://github.com/tensorflow/tensorflow/pull/38968
Commits authored by someone else require explicit consent,,,Obtain explicit consent from all commit authors when contributing to projects with contributor agreements,issue_comment,"['process', 'contributor_agreement', 'co_authorship']","['process', 'responsibility']",https://github.com/tensorflow/tensorflow/pull/38968
Missing documentation for new parameter in the Args section,"def experimental_distribute_datasets_from_function(self, dataset_fn):
    """"""
    """"""","def experimental_distribute_datasets_from_function(self, dataset_fn, replication_mode):
    """"""
    Args:
      dataset_fn: ...
      replication_mode: Replication mode for the input function.
    """"""",Update docstrings when adding new function parameters to keep documentation accurate,review_comment,"['missing_documentation', 'docs']","['documentation', 'api_design']",https://github.com/tensorflow/tensorflow/pull/38968
Missing example usage in docstring for new argument,"""""""
Args:
  dataset_fn: ...
  replication_mode: ...
""""""","""""""
Args:
  dataset_fn: ...
  replication_mode: ...
Example:
  ```python
  train_dist_dataset = strategy.experimental_distribute_datasets_from_function(
      train_dataset_fn,
      distribute_lib.InputReplicationMode.PER_REPLICA)
  ```
""""""",Include usage examples in docstrings to illustrate how new API parameters work,review_comment,"['missing_documentation', 'example']","['documentation', 'code_readability']",https://github.com/tensorflow/tensorflow/pull/38968
Duplicated code instead of reusing existing method with new parameter,"if replication_mode == InputReplicationMode.PER_WORKER:
    return self._extended._experimental_distribute_datasets_from_function(dataset_fn)
elif replication_mode == InputReplicationMode.PER_REPLICA:
    # duplicated implementation","return self._extended._experimental_distribute_datasets_from_function(dataset_fn, replication_mode)",Avoid code duplication by extending existing methods with parameters,review_comment,"['code_duplication', 'maintainability']","['clean_code', 'maintainability']",https://github.com/tensorflow/tensorflow/pull/38968
Missing feature support or explicit error for unsupported strategies,# only implemented for MirroredStrategy,"if isinstance(strategy, TPUStrategy):
    raise NotImplementedError('PER_REPLICA not supported for TPUStrategy')",Ensure feature parity across implementations and provide clear errors for unsupported cases,review_comment,"['feature_completeness', 'error_handling']","['error_handling', 'api_design']",https://github.com/tensorflow/tensorflow/pull/38968
Error message is unclear,"raise ValueError(""executing_eagerly_outside_functions is not implemented for: %r"")","raise ValueError(""executing_eagerly_outside_functions is not implemented for replication_mode %r"" % replication_mode)",Write clear and informative error messages to aid debugging,review_comment,"['error_message', 'clarity']","['error_handling', 'documentation']",https://github.com/tensorflow/tensorflow/pull/38968
Unnecessary helper function instead of extending existing one,def get_distributed_datasets_from_function_per_replica(...):,# merged functionality into get_distributed_datasets_from_function to handle both modes,Minimize API surface by consolidating functionality into existing interfaces,review_comment,"['api_design', 'redundant_code']","['api_design', 'maintainability']",https://github.com/tensorflow/tensorflow/pull/38968
Lint nit: use 2 blank lines instead of 3,# three blank lines between definitions,# reduced to two blank lines,Follow established lint and formatting conventions to maintain code consistency,review_comment,"['code_style', 'lint']","['code_style', 'consistency']",https://github.com/tensorflow/tensorflow/pull/38968
Tests do not verify actual returned values,"for x in ds:
    process_inputs(x)","for x in ds:
    process_inputs(x)
    self.assertEqual(x[0].values[0].device, distribution.extended.worker_devices[0])",Include assertions in tests to verify correct output values,review_comment,"['missing_tests', 'testing_inadequacy']","['testing_strategy', 'code_quality']",https://github.com/tensorflow/tensorflow/pull/38968
Tests import heavy external dependency (DALI) in core code,"import nvidia.dali.fn as fn
from nvidia.dali.pipeline import Pipeline
import nvidia.dali.plugin.tf as dali_tf",# replaced with basic tf.data pipeline in tests,Avoid introducing heavy or third-party dependencies into core code or tests when not necessary,review_comment,"['dependency_issue', 'test_dependency']","['dependency_management', 'scalability']",https://github.com/tensorflow/tensorflow/pull/38968
Missing test scenarios for edge cases like partial batches,"def testInputSignatureForPerReplicaValues(...):
    ds = distribution.experimental_distribute_datasets_from_function(...)
    for x in ds:
        process_inputs(x)","def testPartialBatchBehavior(...):
    # dataset_fn returns variable-sized inputs to test last partial batch","Design tests to cover edge cases, such as varying input sizes and partial batches",review_comment,"['edge_case', 'missing_tests']","['testing_strategy', 'edge_case']",https://github.com/tensorflow/tensorflow/pull/38968
Incorrect computation of number of input pipelines,num_replicas = self.worker_devices,num_input_pipelines = len(self.worker_devices),Use correct semantic values when initializing components; distinguish between count and list,review_comment,"['logic_error', 'api_misuse']","['defensive_programming', 'correctness']",https://github.com/tensorflow/tensorflow/pull/38968
Misuse of API: using compute_devices_for_worker instead of worker_devices,"for ctx, device in zip(input_contexts, input_workers.compute_devices_for_worker(0))","for ctx, device in zip(input_contexts, input_workers.worker_devices)",Use the appropriate API methods to retrieve the intended data,review_comment,"['api_misuse', 'logic_error']","['api_design', 'readability']",https://github.com/tensorflow/tensorflow/pull/38968
Need to generalize input placement beyond DALI-specific GPU placement,with ops.device(device):  # intended for DALI pipelines,# use tf.device('cpu') wrapper to support non-DALI pipelines,Ensure implementation generalizes beyond specific dependencies and environments,review_comment,"['generalization', 'dependency_issue']","['design_principle', 'flexibility']",https://github.com/tensorflow/tensorflow/pull/38968
Behavior when device list is empty unclear,"class _SingleReplicaDatasetIterator(...):
    def __init__(self, dataset, device):
        super(..., device, [])",# add tests and adjust behavior when input_workers.devices = [],Test and define behavior under boundary conditions such as empty device lists,review_comment,"['edge_case', 'testing_inadequacy']","['testing_strategy', 'edge_case']",https://github.com/tensorflow/tensorflow/pull/38968
Differing iterator implementations may introduce inconsistencies,class _SingleReplicaDatasetIterator(_SingleWorkerDatasetIterator): ...,# consider using OwnedMultiDeviceIterator to maintain consistency across modes,Maintain consistency in component implementations to avoid subtle behavior differences,review_comment,"['compatibility', 'implementation_detail']","['consistency', 'maintainability']",https://github.com/tensorflow/tensorflow/pull/38968
Assuming static shapes in iterator may not hold for dynamic inputs,iterator.get_next_as_list_static_shapes(iterator._worker),# support dynamic shapes or document static shape requirement,Avoid hardcoding assumptions about input characteristics or clearly document them,review_comment,"['assumption', 'logic_error']","['defensive_programming', 'documentation']",https://github.com/tensorflow/tensorflow/pull/38968
Unnecessary worker parameter passed to iterator.get_next,next_out = iterator.get_next_as_list_static_shapes(iterator._worker),next_out = iterator.get_next_as_list_static_shapes(),Simplify function interfaces by removing unnecessary parameters,review_comment,"['api_design', 'redundant_parameter']","['api_design', 'simplicity']",https://github.com/tensorflow/tensorflow/pull/38968
Incorrect indentation of example code in documentation,"for epoch in range(NUM_EPOCHS):
# code block not indented","for epoch in range(NUM_EPOCHS):
    # code block",Maintain correct code indentation in documentation to avoid confusion,review_comment,"['code_style', 'formatting']","['documentation', 'code_style']",https://github.com/tensorflow/tensorflow/pull/38968
Unnecessary replication_mode property on strategy class,"class MirroredStrategy(...):
    @property
    def replication_mode(self):
        return self._replication_mode",# remove replication_mode property; pass mode as method parameter,Avoid embedding parameters in object state when they vary per call; use method parameters,review_comment,"['api_design', 'state_management']","['api_design', 'parameterization']",https://github.com/tensorflow/tensorflow/pull/38968
Replication_mode parameter misplaced in class constructor instead of method,"def __init__(..., replication_mode=...):","def experimental_distribute_datasets_from_function(..., replication_mode):",Place configurable parameters at the appropriate level (constructor vs method) based on usage scope,review_comment,"['api_design', 'parameter_placement']","['api_design', 'best_practices']",https://github.com/tensorflow/tensorflow/pull/38968
Bad rebase introduced unintended changes in TFLite file,# spurious '#elif defined(__APPLE__)' added under Windows block,# remove unintended Apple-specific guard,Verify unrelated files during code reviews to detect unintended changes from rebases,review_comment,"['version_control', 'rebase_error', 'unintended_changes']","['code_review', 'attention_to_detail']",https://github.com/tensorflow/tensorflow/pull/38968
Missing tests for updated input_lib functionality,# input_lib changes without corresponding tests,# add unit tests covering input_workers adjustments and new replication modes,Ensure code changes are accompanied by tests to verify new behavior,review_comment,"['missing_tests', 'test_coverage']","['testing_strategy', 'code_quality']",https://github.com/tensorflow/tensorflow/pull/38968
Missing performance benchmarks to quantify integration overhead between TensorRT and TensorFlow,,,Include clear performance metrics when introducing new optimizations or integrations,issue_comment,"['missing_benchmarks', 'performance_overhead']","['performance_measurement', 'documentation']",https://github.com/tensorflow/tensorflow/pull/16253
Version compatibility confusion due to version check requiring TensorRT version 4.0 despite libnvinfer4 corresponding to TensorRT 3.x,,,"Clearly document and manage dependency version requirements, and ensure configuration checks align with actual library versions",issue_comment,"['version_mismatch', 'dependency_management']","['configuration_management', 'compatibility']",https://github.com/tensorflow/tensorflow/pull/16253
"Import error caused by duplicate registration of system ops when building Python bindings, due to including function_ops_op_lib in the extension",,,Avoid linking unnecessary libraries or object files into shared modules to prevent symbol collisions and duplicate registrations,issue_comment,"['duplicate_registration', 'symbol_collision']","['module_boundary', 'dynamic_linking']",https://github.com/tensorflow/tensorflow/pull/16253
"VLOG macro logic is inverted, causing unexpected logging behavior where lower verbosity levels display higher level logs",,,Verify and test logging level logic to ensure verbosity macros match intended semantics,issue_comment,"['logic_error', 'logging_issue']","['logging_best_practice', 'testing']",https://github.com/tensorflow/tensorflow/pull/16253
Lack of documentation on how and where TensorRT graph optimizations (plan creation) occur and how engine plans are cached,,,"Document core algorithm steps and parameter semantics, especially for integration points like caching and optimization stages",issue_comment,"['missing_documentation', 'unclear_behavior']","['documentation', 'clarity']",https://github.com/tensorflow/tensorflow/pull/16253
Using ShapeRefiner on a Graph for shape inference is less accurate and requires extra Graph construction; Grappler's GraphProperties can infer shapes directly on GraphDef,// uses ShapeRefiner via ConvertGraphDefToGraph and shape_refiner,// use GraphProperties from tensorflow/core/grappler/costs/graph_properties.h to infer shapes directly on GraphDef,Prefer more accurate and efficient APIs (GraphProperties) over legacy approaches (ShapeRefiner) to improve performance and accuracy,review_comment,"['performance_issue', 'api_misuse']","['performance_optimization', 'api_usage']",https://github.com/tensorflow/tensorflow/pull/16253
License header year is outdated (2015) and should reflect current year (2018),/* Copyright 2015 The TensorFlow Authors. All Rights Reserved. */,/* Copyright 2018 The TensorFlow Authors. All Rights Reserved. */,Keep license headers up-to-date to reflect the correct copyright years,review_comment,['outdated_license_header'],"['legal_compliance', 'maintainability']",https://github.com/tensorflow/tensorflow/pull/16253
Build configuration for enabling TensorRT is scattered; lack of a dedicated --config=tensorrt flag,bazel build --config=cuda --config=opt //tensorflow/tools/pip_package:build_pip_package,bazel build --config=cuda --config=opt --config=tensorrt //tensorflow/tools/pip_package:build_pip_package,Use dedicated build configurations for optional features to simplify and standardize build commands,review_comment,['build_configuration'],"['build_system', 'developer_experience']",https://github.com/tensorflow/tensorflow/pull/16253
"Python API CreateInferenceGraph only accepts node names, not Tensor objects, limiting usability","CreateInferenceGraph(gdef, ['output'])","CreateInferenceGraph(graph=gdef, output_nodes=['output'], allow_tensors=True)","Design APIs to accept multiple input types (e.g., names and Tensor objects) to improve usability and flexibility",review_comment,"['api_design', 'usability']","['api_flexibility', 'usability']",https://github.com/tensorflow/tensorflow/pull/16253
"Sample code lacks named parameters for max_batch_size and max_workspace_size, reducing readability and extensibility","CreateInferenceGraph(gdef, ['output'])","CreateInferenceGraph(gdef, ['output'], max_batch_size=32, max_workspace_size=1<<20)",Encourage use of named parameters or configuration objects in API examples for clarity and future extensibility,review_comment,"['api_design', 'documentation']","['clean_code', 'maintainability']",https://github.com/tensorflow/tensorflow/pull/16253
Hard-coded list of TensorRT candidate ops in segmentation lacks flexibility and can become outdated,"static const std::set<std::string> candidate_ops = { 'Identity', 'Const', ..., 'Pad' };",// TODO: replace hard-coded list with registration-driven mechanism for candidate ops,Avoid hard-coded value lists; use registration or plugin mechanisms to enable extensibility and reduce maintenance,review_comment,"['hardcoded_values', 'maintainability']","['extensibility', 'clean_code']",https://github.com/tensorflow/tensorflow/pull/16253
"Function signature uses Graph by value instead of const reference, causing unnecessary copying",tensorflow::Graph g(OpRegistry::Global());,void someFunction(const tensorflow::Graph& graph),Pass large objects by const reference to avoid unnecessary copies and improve performance,review_comment,"['performance_issue', 'api_misuse']","['performance_optimization', 'coding_conventions']",https://github.com/tensorflow/tensorflow/pull/16253
"Multiple files contain commented-out code and unused includes, cluttering codebase",// #include 'tensorflow/core/grappler/clusters/single_machine.h',// removed unused commented includes and code,Remove dead or commented-out code and unused includes to improve code readability and maintainability,review_comment,"['dead_code', 'code_cleanup']","['clean_code', 'maintainability']",https://github.com/tensorflow/tensorflow/pull/16253
"Duplicate and unused config_setting blocks present in BUILD files, leading to potential confusion","config_setting(name = 'trt_enabled', ...)",// removed duplicate config_setting for trt_enabled,Eliminate duplicated or unused build configuration entries to simplify build scripts and avoid confusion,review_comment,"['duplicate_code', 'build_configuration']","['clean_code', 'configuration_management']",https://github.com/tensorflow/tensorflow/pull/16253
